id,contact_id,product_id,kajabi_subscription_id,status,amount,currency,billing_cycle,start_date,trial_end_date,cancellation_date,next_billing_date,payment_processor,coupon_code,created_at,updated_at
724878ea-ac79-42c2-810d-096d85c4e1ed,e4ba8e38-74f1-490d-8817-08d0feeef325,,2173284751,canceled,$44.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
e5ecf005-b957-446f-a892-c4fdd5591065,143ee0c8-231d-46eb-873a-e51539359951,,2173493121,canceled,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
62a4f74f-0847-49e1-a477-f01e78327f9d,00a484c0-2a50-479a-8200-aeebecb2f5c3,,2173631957,canceled,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
e5c754cd-52d2-4b9b-9e27-3e5184c07a26,f7a1782c-73eb-4072-b7e9-e30774f947f8,,2175489923,canceled,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
4fa3f097-1b55-4c95-a611-16e4af3bfdb0,c41bcc23-8128-41c2-8e0e-b152fcb65a6c,,2175714035,canceled,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
8704225f-b49c-4974-b884-791c33425de5,e1f2e9c0-f3e7-4ef7-b4fe-835709febafe,,2175962685,canceled,$242.00,USD,Year,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
6932a345-17fc-434d-a83e-8517ec13a5e7,dcce14e6-69c8-46c6-9ccd-99888624241e,,2177213825,canceled,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
ac3b1441-ed27-49e9-9345-90c63677ac10,0a2055c4-f532-474c-ab2b-57b5d97e68e3,,2177999024,canceled,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
8b93d4e8-0765-4f00-974d-3c80a06e44b6,6ae81f36-25a9-4e11-ac1a-2db89435cd2e,,2178066164,canceled,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
4bd359ed-5bb8-44c3-a475-1e25e027093b,3ef2dc8f-176b-457d-9aa4-725b187b80b2,,2178364338,canceled,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
a8bf744b-121c-45ce-a49c-1c2b302ee596,9e382c7e-4698-4b53-aa4a-94778abb3c4d,,2178726752,canceled,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
c92e1d9f-3b0f-489f-a33a-04c67e9e5862,5590f522-4f05-406f-9e0c-59316de75746,,2179888861,active,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
1ef86383-5b32-41d9-8e13-565a5a7eed44,b6d4c794-602b-41b0-8fd1-49f9996986cb,,2179923529,canceled,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
e1567332-99e2-4e44-b8b5-39c629962dbd,c08499ef-7c8b-4a9b-9a6f-739445a63c9e,,2181794451,active,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
b094afd8-1d21-435f-b598-75f7ec1416ac,f4ca26da-204c-442c-83ae-56390b2c9300,,2182427555,active,$22.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
2c5f89fd-f63b-4069-ba59-a2e48fd9dcf0,b1ddc16b-8c97-44b5-a2b2-155c3cec7b0f,,2183219518,active,$242.00,USD,Year,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
a818bf27-7b17-40ff-8b85-9f77975dad8c,27a8b0aa-541e-4e9c-99a9-4224c4d51eda,,2184702667,canceled,$242.00,USD,Year,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
fb3ddf23-7047-4426-b81b-9f79d0bcf273,957bee99-cbd3-4dca-808b-ac7a6e37e4e1,,2185147540,active,$44.00,USD,Month,,,,,PayPal,,2025-10-28T21:51:21Z,2025-10-28T21:51:21Z
